This file was created by CMPT_BEME_RETS using the 201603 CRSP database.,,,
198108,-7.22,-5.54,-2.85
198109,-6.83,-6.05,-1.97
198110,8.41,4.29,4.63
198111,3.7,5.05,4.23
198112,-3.04,-2.5,-2.32
198201,-2.22,-3.62,0.21
198202,-7.39,-3.32,-1.75
198203,-1.98,-0.52,1.87
198204,5.85,3.77,2.85
198205,-3.48,-2.29,-2.19
198206,-2.62,-1.23,-1.61
198207,-0.87,-3.75,-1.6
198208,10.62,12.66,12.68
198209,2.03,2.35,0.64
198210,13.2,11.45,9.94
198211,7.49,3.1,4.63
198212,1.16,1.15,1.51
198301,3.79,3.59,5.76
198302,3.75,2.94,2.84
198303,2.51,4.73,3.44
198304,6.04,8.87,7.19
198305,1.06,0.87,0.64
198306,5.34,3.78,1.01
198307,-5.3,-2.3,-0.81
198308,-1.88,0.4,4.51
198309,2.19,1.65,1.21
198310,-4.42,-1.38,-0.61
198311,3.09,2.7,2.23
198312,-1.04,-1.02,-0.55
198401,-5.16,0.47,3.38
198402,-5.07,-4.27,-1.82
198403,1.37,1.56,0.67
198404,0.22,0.21,1.48
198405,-4.97,-4.59,-5.71
198406,4.43,1.63,2.46
198407,-1.86,-1.97,-2.52
198408,11.67,11.04,11.3
198409,-2.46,-0.11,3.08
198410,0.2,0.69,-0.45
198411,-2.66,-1.14,0.87
198412,2.55,2.56,2.23
198501,10.99,8.38,5.96
198502,1.6,1.83,2.18
198503,-1.65,-0.68,2.09
198504,-1.89,-0.64,1.87
198505,5.66,6.68,5.04
198506,1.51,1.98,1.56
198507,0.59,-0.48,-1.2
198508,-1.61,-0.06,0.76
198509,-4.38,-2.93,-4.35
198510,3.88,5.14,5.28
198511,8.88,6.66,4.91
198512,5.65,3.7,4.3
198601,1,0.56,1.65
198602,7.91,8.1,6.87
198603,5.94,5.75,4.43
198604,0.79,-1.35,-2.93
198605,5.14,5.49,4.91
198606,1.57,1.13,2.52
198607,-7.66,-5.66,-2.94
198608,4.44,7.88,8.99
198609,-9.83,-7.07,-6.97
198610,5.43,5.04,5.14
198611,1.79,1.83,1.4
198612,-2.55,-2.96,-2.83
198701,13.72,12.97,10.82
198702,7.73,3.83,0.46
198703,1.63,2.32,2.68
198704,-1.94,-1.19,-1.7
198705,1.26,-0.16,0.7
198706,4.28,5.18,4.6
198707,5.16,3.47,3.93
198708,4.46,4.26,2.79
198709,-2,-2.19,-2.41
198710,-24.25,-21.14,-20.33
198711,-8.58,-7.41,-5.55
198712,9.18,6.45,4.85
198801,2.08,5.56,7.88
198802,5.73,4.96,3.83
198803,-2.38,-2.4,-0.74
198804,-0.42,2.07,1.65
198805,-0.33,0.35,1.83
198806,5.08,5.79,4.21
198807,-1.65,-0.28,0.24
198808,-3.01,-3,-1.37
198809,4.81,3.43,3.5
198810,1.82,1.72,2.68
198811,-1.9,-1.94,-0.67
198812,2.91,1.81,1.05
198901,6.79,6.36,6.82
198902,-2.05,-1.78,-1
198903,2.52,1.79,2.71
198904,5.88,4.73,4.01
198905,4.77,3.61,3.95
198906,-1.17,-0.4,0.33
198907,10.05,6.81,5.77
198908,1.25,2.84,2.61
198909,0.61,-0.72,-0.03
198910,-1.79,-4.13,-2.64
198911,2.21,1.54,0.92
198912,1.55,2.1,2.23
199001,-7.7,-6.5,-7.19
199002,0.63,2.24,2.51
199003,4.16,1.63,0.67
199004,-1.11,-3.45,-4.48
199005,10.59,8.38,7.13
199006,1.28,-2.14,-1.39
199007,-1.54,-0.41,-2.01
199008,-10.12,-8.35,-10.15
199009,-6.09,-4.15,-6.66
199010,-0.11,-2.26,-0.26
199011,7.48,6.78,5.15
199012,3.78,2.5,2.08
199101,6.53,3.68,4.8
199102,8.08,6.86,7.74
199103,4.3,1.49,3.36
199104,-0.28,0.85,0.52
199105,4.64,3.09,4.8
199106,-4.9,-4.21,-3.74
199107,5.34,3.98,3.86
199108,3.43,1.93,2.37
199109,-1.97,0.09,-1.72
199110,1.6,1.76,1.8
199111,-2.66,-4.44,-5.6
199112,14.14,7.57,8.72
199201,-1.59,-0.67,5.32
199202,0.41,0.97,6.9
199203,-3.03,-1.28,-1.02
199204,-0.23,4.19,3.04
199205,0.78,0.5,0.73
199206,-2.75,-1.35,0.06
199207,4.2,4.54,2.36
199208,-1.4,-2.09,-4.53
199209,1.61,0.99,1.26
199210,2.55,-0.64,1.04
199211,5,2.88,4.91
199212,0.86,2.25,3.66
199301,-0.9,1.71,5.59
199302,-2.66,3.75,2.74
199303,1.81,3.05,2.88
199304,-4.91,-1.03,-1.22
199305,4.23,2.44,1.13
199306,-0.87,1.14,3.1
199307,-2.04,1.18,1.73
199308,3.63,4.16,3.36
199309,-0.34,0.65,-0.47
199310,3.07,-0.01,1.33
199311,-0.4,-2.65,-1.59
199312,1.51,1.97,2.44
199401,2,4.34,3.34
199402,-1.54,-2.68,-3.92
199403,-4.85,-3.91,-4
199404,0.26,1.88,1.54
199405,1.08,1.49,-0.62
199406,-3.21,-2.12,-2.29
199407,2.89,3.11,3.85
199408,6.04,3.18,2.72
199409,-0.98,-2.9,-3.14
199410,2.16,2.2,-0.18
199411,-3.03,-4.35,-3.14
199412,1.32,1.31,1.27
199501,1.84,2.59,3
199502,3.98,4.03,4.09
199503,2.93,3.04,0.68
199504,1.98,3.06,3.42
199505,3.29,3.42,4.84
199506,4.24,2.08,1.68
199507,4.36,4.15,3
199508,0.23,1.37,2.53
199509,4.6,3.14,3.49
199510,-0.14,-1.69,-2.18
199511,3.94,5.05,4.12
199512,0.41,2.5,2.64
199601,2.78,2.84,2.5
199602,2.23,1.77,0.18
199603,0.36,1.67,2.17
199604,3.44,1.59,0
199605,4.01,1.3,2.29
199606,-0.58,-0.42,-0.4
199607,-6.23,-4.01,-5.25
199608,2.44,3.95,3.65
199609,6.63,4.43,1.87
199610,0.23,3.11,3.53
199611,6.84,7.55,5.4
199612,-1.57,-0.95,-0.44
199701,6.46,4.94,3.03
199702,-0.42,0.36,1.92
199703,-5.71,-2.67,-3.96
199704,6.06,4.03,1.33
199705,7.52,6.28,6.26
199706,4.12,4.76,3.46
199707,7.56,8.44,6.64
199708,-5.15,-2.8,-1.4
199709,5.36,6.23,5.97
199710,-3.64,-3.16,-2.61
199711,4.28,2.87,2.77
199712,0.77,2.76,3.96
199801,2.74,-1.91,-0.82
199802,7.33,7.79,6.68
199803,4.62,5.41,6.48
199804,1.1,1.65,0.61
199805,-2.93,-2.44,0.29
199806,5.48,1.67,1.54
199807,-0.85,-3.7,-4.32
199808,-15.07,-17.43,-12.36
199809,7.72,4.12,5.45
199810,8.13,7.35,4.55
199811,7.21,5.67,4.03
199812,8.6,2.02,3.08
199901,5.65,-0.41,-0.84
199902,-4.41,-2.03,-3
199903,4.06,3.22,0.63
199904,2.03,9.52,8.08
199905,-2.41,-0.52,0.45
199906,6.8,3.02,-0.11
199907,-3.05,-3.18,-2.24
199908,-0.36,-2.7,-2.37
199909,-1.85,-5,-4.16
199910,6.97,4.88,2.84
199911,4.43,-2.04,-0.75
199912,8.37,1.89,2.76
200001,-4.73,-3.09,-2.98
200002,2.33,-3.07,-2.39
200003,7.55,9.72,7.82
200004,-4.76,-1.13,1.95
200005,-3.7,0.87,-1.18
200006,5.37,-4.04,-2.12
200007,-3.2,3.15,3.99
200008,7.58,8.08,7
200009,-6.18,1.76,0.87
200010,-2.44,0.69,0.26
200011,-10.97,-3.15,-0.5
200012,-0.26,9.29,6.94
200101,4.02,1.48,0.31
200102,-11.63,-0.46,2.65
200103,-8.16,-1.71,-1.6
200104,9.02,5.22,5.24
200105,0.51,2.22,4.33
200106,-1.78,-0.98,-0.93
200107,-2.03,-1.69,0.55
200108,-7.01,-3.8,-5.36
200109,-8.65,-9.41,-9.29
200110,3.63,1.25,-2.02
200111,8.3,6.02,9.73
200112,0.89,3.44,2.76
200201,-0.99,-1.62,-0.64
200202,-2.74,-0.07,-1.98
200203,3.82,5.47,6.32
200204,-6.86,-0.95,-3.24
200205,-1.58,-0.41,-0.96
200206,-7.35,-6.08,-7.33
200207,-6.42,-9.96,-13.28
200208,0.22,0.73,3.77
200209,-10.6,-9.95,-9.48
200210,9.56,6.28,3
200211,5.44,6.56,8
200212,-6.45,-4.52,-4.13
200301,-2.68,-2.29,-4.61
200302,-1.17,-3.12,-4.04
200303,1.72,0.14,-0.25
200304,7.86,9.04,9.54
200305,5.35,7.49,8.5
200306,1.27,1.51,1.85
200307,2.55,2.29,1.33
200308,1.97,2.59,4.26
200309,-0.82,-1.88,-1.11
200310,5.34,7.61,6.94
200311,0.95,2.03,2.51
200312,4.09,4.52,6.01
200401,1.7,2.43,3.42
200402,1.2,2.15,1.55
200403,-1.72,-0.35,-0.95
200404,-0.88,-3.2,-2.53
200405,1.43,0.81,1.12
200406,1.32,2.54,3.17
200407,-5.26,-2.17,-1.86
200408,-0.31,0.75,0.6
200409,0.79,2.54,3.04
200410,1.88,1.01,1.77
200411,3.84,5.69,6.15
200412,4.05,2.55,3.73
200501,-3.2,-1.96,-1.39
200502,0.8,4.04,3.27
200503,-1.4,-2.77,-0.27
200504,-1.69,-3.27,-2.89
200505,4.16,3.36,3.63
200506,-0.76,2.26,2.95
200507,4.79,3.03,4.46
200508,-1.75,-0.21,-0.11
200509,-0.13,1.61,1.87
200510,-0.6,-2.71,-2.78
200511,4.39,3.92,2.46
200512,-0.66,0.9,0.34
200601,1.89,4.64,4.97
200602,0.3,0.25,-0.99
200603,1.88,1.98,1.33
200604,-0.33,2.16,3.23
200605,-3.52,-2.9,-1.64
200606,-0.33,0.04,1.61
200607,-1.67,0.8,1.08
200608,3.55,1.75,1.03
200609,2.58,2.15,1.64
200610,3.35,3.28,4.95
200611,1.5,2.73,2.15
200612,0.34,1.72,2.72
200701,2.28,1.15,1.98
200702,-1.84,-1.45,-1.25
200703,0.7,1.35,1.88
200704,4.65,3.68,3.19
200705,3.09,4.06,3.84
200706,-1.15,-1.9,-2.19
200707,-1.85,-4.46,-5.07
200708,1.61,2.3,-0.53
200709,4.38,2.6,2.82
200710,3.22,0.86,1.67
200711,-3.76,-5.33,-4.97
200712,-0.37,-1.51,0.4
200801,-7.3,-4.58,-4.68
200802,-2.57,-3.75,-2.96
200803,0.44,-2.54,-0.29
200804,4.04,5.08,5.54
200805,2.43,0.49,3.17
200806,-7.39,-9.59,-9.02
200807,-0.69,-2.3,4.07
200808,1.65,1.2,1.89
200809,-9.66,-9.55,-5.02
200810,-15.46,-17.31,-22.15
200811,-6.39,-7.26,-13.82
200812,2.35,1.16,0.9
200901,-4.97,-10.34,-15.88
200902,-7.4,-12.56,-15.52
200903,8.2,9.49,11.06
200904,7.86,11.75,16.55
200905,4.22,6.03,5.72
200906,1.63,-1.59,0.53
200907,6.84,8.7,9.72
200908,1.83,3.81,8.94
200909,3.79,4.21,5.82
200910,-0.89,-3.1,-7.19
200911,6.42,4.56,4.44
200912,2.22,3.3,4.27
201001,-3.99,-2.5,-3.44
201002,3.16,3.24,5.25
201003,5.49,6.74,8.04
201004,1.12,2.61,3.87
201005,-7.4,-8.21,-8.66
201006,-4.77,-5.46,-8.96
201007,6.85,7.46,6.26
201008,-4.22,-4.83,-6.01
201009,10.27,9.16,7.76
201010,4.72,3.46,1.55
201011,0.75,0.76,-0.35
201012,5.04,8.13,9.51
201101,1.75,2.54,2.18
201102,2.69,4.2,5
201103,0.26,1.47,-0.93
201104,3.78,2.27,1.59
201105,-0.56,-1.73,-2.71
201106,-1.48,-1.96,-1.75
201107,-1.01,-3.03,-3.87
201108,-4.55,-7.31,-7.05
201109,-6.73,-8.04,-8.66
201110,10.56,12.84,11.09
201111,-0.26,0.79,-1.72
201112,-0.29,1.91,1.5
201201,6.2,3.89,4.02
201202,4.51,3.75,5.06
201203,3.89,1.6,3.52
201204,-0.6,-0.8,-1.21
201205,-5.94,-6.17,-6.46
201206,3.17,4.27,5.14
201207,1.04,1.04,-0.4
201208,2.73,1.89,3.58
201209,1.78,3.32,4.16
201210,-2.94,-1.49,1.71
201211,1.55,0.08,-0.71
201212,-0.01,1.38,4.61
201301,4.69,5.74,7.27
201302,1.19,1.52,1.45
201303,3.79,4.16,4.15
201304,1.69,1.28,1.8
201305,2.26,2.29,5.21
201306,-1.92,-0.11,-1.66
201307,5.64,5.1,6.57
201308,-1.67,-3.22,-4.18
201309,4.33,3.29,2.8
201310,4.3,4,4.28
201311,3.31,2.62,3.67
201312,2.38,3.37,1.9
201401,-3.1,-3.64,-3.71
201402,4.93,4.69,3.52
201403,-1.07,1.39,3.74
201404,-0.13,0.52,-0.65
201405,2.36,1.92,1.19
201406,2.04,2.62,3.49
201407,-1.91,-1.68,-2.52
201408,4.87,3.54,3.89
201409,-1.2,-2.5,-2.68
201410,3,2.25,1.42
201411,3.61,2.69,-0.27
201412,-1.09,0.36,1.61
201501,-1.54,-3.85,-5.55
201502,6.45,6.38,4.92
201503,-1.08,-1.2,-1.46
201504,0.04,0.78,1.82
201505,1.56,1.56,0.28
201506,-1.42,-1.78,-1.53
201507,3.03,0.73,-0.78
201508,-6.5,-5.52,-5.75
201509,-2.45,-3.32,-3.53
201510,8.08,8.32,6.06
201511,0.96,-0.22,1.43
201512,-1.57,-2.55,-3.3
201601,-6.09,-5.14,-6.29
201602,-0.06,0.61,-1.45
201603,6.58,6.89,8.22
,,,
,,,
  Equal Weighted Returns -- Monthly,,,
,Lo 30,Med 40,Hi 30
192607,2.76,1.12,0.37
192608,1.26,1.54,5.64
192609,-1.61,-0.36,0.11
192610,-3.43,-3.31,-2.82
192611,2.03,3.24,2.82
192612,3.05,2.04,1.81
192701,-0.19,-0.53,4.03
192702,4.51,4.78,8.63
192703,-0.91,-1.34,-3.29
192704,0.42,0.05,2.9
192705,4.75,4.93,10.32
192706,-2.26,-1.77,-1.49
192707,7.05,6.61,5.08
192708,2.51,-0.34,-0.66
192709,3.7,3.19,2.52
192710,-1.57,-2.8,-7.31
192711,9.14,8.67,10.91
192712,3.87,3.27,3.51
192801,1.71,2,4.74
192802,-2.37,-1.39,-3.43
192803,8.47,6.72,8.12
192804,3.79,7.75,11.52
192805,3.21,3.1,3.84
192806,-5.69,-6.38,-7.53
192807,0.48,0.15,-0.44
192808,7.98,5.56,4.35
192809,5.01,3.41,7.87
192810,1.94,1.72,1.42
192811,10.51,12.13,11.81
192812,1.08,-0.26,-2.12
192901,4.28,2.28,3.13
192902,-0.05,1.1,0.47
192903,-3.69,-1.77,-3.49
192904,1.33,1.9,0.49
192905,-7.5,-7.98,-11.63
192906,9.86,8.29,5.74
192907,1.7,1.29,2.57
192908,2.98,3.44,0.63
192909,-3.82,-3.83,-5.17
192910,-23.98,-17.91,-17.01
192911,-14.45,-10.13,-12.19
192912,-0.26,-3.47,-2.92
193001,8.36,10,11.14
193002,3.51,1.87,3.55
193003,8.33,9.34,13.59
193004,-4.63,-3.71,-6.53
193005,-2.42,-3.01,-4.87
193006,-18.84,-17.29,-17.6
193007,5.08,3.7,2.82
193008,-0.65,-1.94,-3.4
193009,-13.29,-13.62,-18.66
193010,-11.01,-9.41,-8.84
193011,-0.1,-2.24,-3.15
193012,-9.2,-12.45,-19.04
193101,8.16,11.63,21.47
193102,14.19,13.15,20.71
193103,-5.52,-6.6,-5.57
193104,-12.65,-15.18,-17.02
193105,-12.9,-13.7,-15.91
193106,15.16,15.96,24.73
193107,-5.9,-8.75,-5.41
193108,-0.32,-0.91,-3.85
193109,-28.73,-30.41,-32.09
193110,9.07,9.09,10.9
193111,-7.46,-9.98,-9.26
193112,-13.13,-18.27,-23.84
193201,0.47,6.69,16.05
193202,2.92,2.29,0.9
193203,-10.94,-13.27,-11.05
193204,-18.93,-17.4,-17.69
193205,-21.67,-23.85,-14.87
193206,3.44,4.37,3.71
193207,29.51,39.9,63.64
193208,36.5,61.24,93.22
193209,-1.54,-3.57,-11.3
193210,-10.76,-18.34,-21.04
193211,-2.71,-7.43,-10.04
193212,1.37,-2.51,-9.33
193301,4.13,2.59,6.66
193302,-14.7,-17.12,-16.24
193303,5.62,10.95,15.44
193304,35.75,57.66,60.68
193305,32.31,57.81,87.54
193306,12.18,23.79,27.92
193307,-10.23,-12.49,-5.49
193308,12.94,13.16,8.71
193309,-9.95,-13.99,-20.14
193310,-7.13,-10.9,-13.58
193311,6.72,7.19,7.6
193312,2.13,2.3,1.94
193401,19.55,30.28,42.88
193402,-1.36,1.33,3.92
193403,1.11,1.1,-1.06
193404,-0.01,-0.38,0.01
193405,-7.55,-10.28,-14.41
193406,2.22,0.53,-1.07
193407,-12.87,-18.16,-24.47
193408,7.59,9.05,12.62
193409,-0.82,-0.57,-2.35
193410,0.61,-1.69,-5.57
193411,13.62,13.88,12.95
193412,2.21,1.88,-0.28
193501,-4.05,-2.9,-3.34
193502,-1.43,-4.44,-9.54
193503,-5,-6.85,-10.89
193504,8.83,9.42,11.35
193505,0.62,3.15,3.05
193506,5.43,5.14,1.6
193507,7.35,10.87,13.32
193508,1.92,5.9,14.99
193509,3.28,4.16,-0.07
193510,7.31,10.07,7.24
193511,6.37,8.84,28.01
193512,4.23,7.74,5.31
193601,6.59,10.15,26.44
193602,2.16,6.28,5.62
193603,1.22,1.48,-0.21
193604,-8.82,-12.01,-16.01
193605,3.79,4.81,7.88
193606,0.95,0.75,-2.32
193607,7.09,7.79,8.5
193608,0.45,2.21,3.96
193609,2.32,3.3,4.72
193610,4.65,7.47,8.38
193611,7.5,7.71,12.35
193612,0.31,2.45,4.73
193701,4.65,6.95,10.11
193702,1.05,1.02,6.96
193703,-2.02,-0.71,3.1
193704,-7.94,-9.38,-12.99
193705,-0.78,-2.23,-3.74
193706,-5.45,-6.86,-10.76
193707,9.8,9.62,10.28
193708,-3.99,-5.01,-6.86
193709,-18.13,-18.62,-21.74
193710,-10.11,-9.74,-10.42
193711,-9.99,-10.92,-12.4
193712,-8.36,-10.06,-12.18
193801,2.76,5.31,4.42
193802,8.04,6.36,4.55
193803,-27.09,-27.75,-31.76
193804,20.12,20.02,21.45
193805,-7.31,-7.22,-6.37
193806,31.98,31.36,30.35
193807,10.34,12.7,14.6
193808,-3.06,-5.22,-10
193809,-0.48,-1.51,-2.24
193810,11.08,14.07,17.65
193811,-1.58,-1.77,-7.17
193812,4.36,3.11,1.68
193901,-6.67,-7.83,-8.61
193902,3.52,4.3,5.38
193903,-13.69,-17.27,-21.29
193904,-0.28,-0.22,1.19
193905,8.42,8.73,8.66
193906,-6.44,-8.18,-11.18
193907,13.79,13.73,13.71
193908,-10.23,-10.38,-11.09
193909,23.14,32.77,66.5
193910,2.07,-0.4,-3.62
193911,-5.09,-6.71,-13.32
193912,3.55,2.37,-0.76
194001,-2.01,-1.84,-2.6
194002,2.04,3.26,4.33
194003,3.07,1.87,2.92
194004,0.5,1.2,3.03
194005,-25.66,-25.97,-30.12
194006,5.95,6.43,7.67
194007,4.09,3.95,2.93
194008,1.62,3.25,2.01
194009,4.31,3.98,3.81
194010,2.94,6.22,5.33
194011,-0.45,0.32,0.19
194012,-0.3,-1.21,-3.17
194101,-4.4,-2.9,3.56
194102,-2.27,-1.64,-2.47
194103,0.16,0.8,3.16
194104,-6.96,-5.66,-3.8
194105,1.54,1.15,0.84
194106,5.48,6.6,8.27
194107,7.95,10.65,21.43
194108,-0.39,-0.98,-0.33
194109,-1.53,-1.88,-2.57
194110,-5.7,-6.16,-6.16
194111,-1.92,-3.56,-4.17
194112,-5.3,-6.89,-12.68
194201,3.15,9.66,23.68
194202,-2.25,-1.28,-1.61
194203,-4.87,-4.71,-5.32
194204,-5.36,-4.53,-3.96
194205,3.8,3.49,1.17
194206,3.34,1.54,3.1
194207,4.12,4.25,5.53
194208,2.38,2.2,3.47
194209,2.67,3.32,8.25
194210,6.77,8.32,13.92
194211,0.15,-0.73,-4.09
194212,4.7,4.26,1.51
194301,8.17,12.8,28.14
194302,6.82,9.09,21.06
194303,7.81,10.61,15.69
194304,-0.28,2.48,8.26
194305,5.13,7.13,12.71
194306,1.61,1.65,0.73
194307,-5.02,-6.22,-7.97
194308,0.83,0.7,-0.56
194309,2.4,3.39,5.11
194310,-1.11,-0.21,0.56
194311,-6.8,-7.83,-12.32
194312,7.32,9.69,12.76
194401,2.93,3.84,6.51
194402,0.62,0.78,3.42
194403,2.2,3.93,6.44
194404,-2.15,-2.78,-3.71
194405,5.12,7.35,7.38
194406,7.99,10.21,13.22
194407,-0.64,-1.38,-1.28
194408,2.69,3.6,2.65
194409,0.48,-0.05,0.09
194410,-0.31,0.51,-0.22
194411,1.18,2.91,2.99
194412,4.38,6.32,10.99
194501,3.49,4.7,4.9
194502,6.13,8.32,11.03
194503,-4.07,-5.73,-7.2
194504,7.65,8.91,9.74
194505,2.31,2.58,4.29
194506,0.86,2.27,7.7
194507,-2.71,-3.11,-4.97
194508,8.02,7.56,4.27
194509,5.46,6.51,6.87
194510,5.19,7.05,7.44
194511,7.83,9.32,11.77
194512,2.42,3.03,2.02
194601,7.58,8.54,11.62
194602,-6.04,-6.46,-7.14
194603,6.14,6.72,4.97
194604,4.06,6.73,5.1
194605,5.32,5.46,6.19
194606,-4.84,-4.75,-5.16
194607,-4.11,-3.58,-4.71
194608,-7.32,-7.51,-7.69
194609,-12.17,-12.94,-15.25
194610,-2.67,-1.27,0.16
194611,-0.84,-0.34,0.67
194612,5.21,5.41,3.74
194701,2.76,2.4,4.12
194702,-1.11,-0.67,0.28
194703,-2.75,-3.17,-2.89
194704,-8.27,-7.8,-8.64
194705,-4.15,-3.42,-4.06
194706,5.69,5.78,6.15
194707,4.81,6.12,7.77
