This file was created by CMPT_ME_RETS using the 201603 CRSP database.  It contains,,,
195511,3.56,6,6.78
195512,2.49,2.29,1.94
195601,-0.67,-2.59,-2.69
195602,2.87,3.29,3.9
195603,4.23,4.76,6.46
195604,0.78,0.37,0.13
195605,-4.21,-3.84,-3.97
195606,0.88,2.22,3.22
195607,3.04,3.92,4.93
195608,-1.25,-1.59,-2.6
195609,-2.71,-3.26,-4.88
195610,0.59,0.8,0.8
195611,-0.11,0.86,0.85
195612,1.27,2.69,2.82
195701,2.84,0.08,-1.91
195702,-2.5,-2.45,-1.82
195703,1.84,2.5,2.25
195704,2.45,1.97,3.49
195705,1.05,2.24,3.09
195706,0.65,-1.1,-1.63
195707,0.8,0.53,0.34
195708,-4.26,-5.22,-5.13
195709,-5.11,-5.56,-5.2
195710,-8.34,-6.55,-4.54
195711,0.16,2.36,3.61
195712,-5.48,-5.2,-3.75
195801,14.27,10.85,6.9
195802,-1.46,-0.81,-1.24
195803,3.58,3.69,3.44
195804,4.06,2.37,3.12
195805,4.21,4.38,3.03
195806,3.9,2.87,3.05
195807,5.66,5.71,4.81
195808,3.62,3.33,2.05
195809,5.99,5.46,4.21
195810,3.11,3.45,3.15
195811,4.95,4.03,3.99
195812,3.37,3.83,4.46
195901,7.26,4.08,1.44
195902,3.19,3.16,2.04
195903,1.86,1.22,0.41
195904,1.9,3.23,2.62
195905,0.48,0.92,0.87
195906,-0.09,1.1,0.31
195907,3.11,3.1,2.92
195908,-1.1,-1.42,-1.79
195909,-4.13,-4.54,-4.84
195910,1.28,2.36,2.65
195911,0.39,2.02,2.06
195912,2.76,2.2,1.72
196001,-1.32,-4.51,-5.62
196002,0.37,0.9,1.24
196003,-2.88,-2.72,-1.56
196004,-2.68,-2.21,-0.96
196005,0.82,2.6,3.11
196006,1.87,2.29,2.44
196007,-1.65,-1.98,-2.07
196008,4.66,3.76,3.04
196009,-6.1,-6.3,-5.65
196010,-3.33,-2.65,-0.86
196011,2.61,5.26,6.04
196012,3.07,3.53,4.9
196101,9.25,8.76,6.36
196102,6.72,6.76,4.75
196103,7.18,4.89,2.88
196104,1.94,0.77,-0.2
196105,4.68,4.41,3.78
196106,-4.8,-4.44,-3.06
196107,0.06,1.01,2.45
196108,1,1.57,3.87
196109,-3.48,-2.95,-2.39
196110,1.84,1.86,2.74
196111,5.19,4.98,3.94
196112,-0.05,-0.29,-0.91
196201,2.39,-1.38,-2.99
196202,1.69,1.46,1.46
196203,-0.34,-0.88,-0.64
196204,-7.01,-6.78,-6.65
196205,-10.31,-10.06,-8.86
196206,-8.38,-8.32,-8.78
196207,7.61,6.15,5.67
196208,3.17,3.05,2.22
196209,-6.78,-6.27,-5.12
196210,-3.91,-2.45,-0.23
196211,14.89,13.96,12.62
196212,-2.23,-1.42,1.07
196301,10.97,7.47,5.5
196302,-0.65,-1.73,-1.78
196303,1.79,1.59,3.02
196304,3.54,3.46,4.61
196305,4.55,3.25,2.07
196306,-1.72,-1.73,-1.33
196307,-0.39,-1.31,-0.49
196308,3.13,5.35,5.95
196309,-0.44,-1.96,-1.9
196310,0.97,1.81,1.57
196311,-2.15,-1.3,-0.36
196312,-2.02,1.15,1.8
196401,4.96,1.33,1.48
196402,2.75,2.65,2.26
196403,2.79,3.31,2.11
196404,0.55,-0.5,-0.12
196405,0.06,1.53,1.51
196406,0.59,1.4,1.67
196407,3.56,2.16,2.42
196408,-0.3,-1.01,-0.91
196409,4.24,3.22,3.49
196410,2.4,1.65,1.08
196411,-0.09,-0.22,0.23
196412,-2.24,-0.24,-0.24
196501,8.89,5.79,4.91
196502,3.69,3.6,2.03
196503,2.67,0.31,-0.68
196504,4.64,4.02,2.67
196505,-0.49,-0.7,-0.72
196506,-9.19,-8.15,-5.69
196507,2.92,3.25,2.37
196508,3.78,5.45,3.59
196509,2.34,3.48,2.78
196510,7.34,4.88,3.04
196511,6.25,4.15,1.43
196512,5.59,3.54,1.55
196601,9.17,3.69,1.89
196602,5.24,1.41,-1.38
196603,0.13,-2.52,-1.43
196604,6.18,3.38,2.09
196605,-10.69,-7.55,-4.78
196606,-0.5,-0.53,-0.72
196607,-1.84,-1.36,-1.34
196608,-11.19,-9.34,-7.78
196609,-2.3,-1.43,-1.15
196610,-4.22,0.47,4.4
196611,3.99,5.33,2.75
196612,1.35,2.07,1.7
196701,21.62,14.81,8.79
196702,6.83,1.93,0.5
196703,6.53,5.75,4.44
196704,4.49,3.83,3.71
196705,0.42,-1.24,-3.43
196706,11.78,5.59,2.29
196707,10.36,6.4,5.43
196708,1.51,-0.1,-0.52
196709,8.77,4.21,1.95
196710,-0.82,-3.05,-4.6
196711,-0.67,1.2,0.78
196712,10.78,6.54,2.99
196801,6.24,-1.53,-3.73
196802,-6.56,-4.8,-3.34
196803,-1.7,-0.37,0.12
196804,16.63,12.63,9.42
196805,13.3,6.09,2.51
196806,1.55,1.44,2.09
196807,-2.04,-4.46,-2.56
196808,4.62,2.73,1.89
196809,7.58,6.62,5.36
196810,0.47,1.07,1.05
196811,6.94,8.31,6.59
196812,2.86,-1.94,-3.06
196901,-0.01,-1.3,-0.1
196902,-9.93,-7.87,-5.83
196903,2.11,1.59,2.1
196904,-0.21,0.93,1.5
196905,1.11,-0.54,-0.23
196906,-13.17,-10.62,-6.96
196907,-11.28,-8.25,-6.33
196908,4.71,6.32,5.36
196909,-3.3,-0.95,-2.07
196910,11.01,8.03,6.44
196911,-6.83,-4.58,-3.53
196912,-9.66,-3.9,-2.13
197001,-1.62,-6.24,-7.7
197002,3.17,4.18,7.23
197003,-3.34,-1.43,-0.64
197004,-18.44,-15.14,-10.65
197005,-9,-10.38,-7.3
197006,-8.62,-7.41,-4.98
197007,4.42,7.73,7.77
197008,6.48,6.45,5.23
197009,16.73,9.89,4.73
197010,-7.96,-4.24,-2.33
197011,-2.93,3.69,5.45
197012,8.49,8.86,7.12
197101,18.56,8.95,5.65
197102,6.74,2.84,1.64
197103,5.91,5.7,4.16
197104,1.97,3.86,3.17
197105,-6.16,-3.84,-3.43
197106,-3.11,-0.67,0.64
197107,-6.52,-4.75,-4.12
197108,3.7,5.39,4.39
197109,-0.53,-0.58,-0.8
197110,-6.51,-5.35,-4.45
197111,-4.97,-1.67,-0.68
197112,12.79,11.8,9.55
197201,15.45,5.63,2.04
197202,4.91,3.46,2.86
197203,-0.64,0.77,0.38
197204,-0.01,0.22,0.39
197205,-3.23,-0.8,0.47
197206,-3.68,-2.95,-3.13
197207,-3.72,-2.92,-1.64
197208,-0.28,2.22,4.41
197209,-4.04,-2.53,-1.48
197210,-2.72,-0.64,1.17
197211,4.17,6.34,6.6
197212,-3.33,-0.87,-0.31
197301,-2.57,-6.58,-5.24
197302,-8.12,-7.69,-4.82
197303,-2.96,-3.17,-1.52
197304,-7.55,-7.86,-5.63
197305,-10.2,-7.54,-3.56
197306,-3.47,-3.7,-2.55
197307,11.66,10.2,7.75
197308,-5.22,-3.2,-2.19
197309,6.51,9.98,8.49
197310,-0.29,-0.26,-0.96
197311,-18.41,-16.89,-13.21
197312,-5.86,-0.74,1.9
197401,16.28,7.7,2.17
197402,0.88,0.12,0.77
197403,2.02,-1.07,-2.7
197404,-5.04,-6.14,-5.91
197405,-6.94,-8.04,-5.09
197406,-2.81,-3.65,-3.46
197407,-5.46,-4.33,-6.09
197408,-7.75,-8.57,-9.96
197409,-7.61,-8.28,-9.16
197410,6.91,11.85,18.14
197411,-5.49,-4.11,-2.59
197412,-9.18,-5.26,-2.87
197501,31.85,25.62,17.45
197502,6.21,4.19,5.41
197503,9.43,6.27,4.29
197504,2.94,4.22,4.87
197505,8,6.6,5.75
197506,7.69,6.37,6.77
197507,0.95,-3.79,-6.57
197508,-5.37,-3.97,-2.47
197509,-3.51,-3.99,-4.03
197510,0.51,3.22,5.99
197511,1.52,2.59,3.44
197512,-0.44,-0.14,-0.91
197601,20.15,17.06,13.11
197602,14.39,6.38,0.82
197603,2.45,1.57,1.72
197604,-0.36,-0.9,-1.12
197605,-2.26,-1.28,-1.05
197606,2,4.67,5.46
197607,0.42,0.1,-0.51
197608,-1.76,-1.5,-0.43
197609,1.12,2.7,2.28
197610,-2.08,-2.03,-2.21
197611,2.4,3.74,1.61
197612,10.75,8.96,6.68
197701,5.92,-0.15,-4.3
197702,1.1,-1.3,-2.12
197703,1.4,0.48,-0.43
197704,1.98,1.52,1.11
197705,0.75,-0.25,-0.97
197706,5.16,6.22,5.08
197707,2.11,-0.61,-1.83
197708,0.03,-0.89,-1.83
197709,1.8,0.74,0.05
197710,-1.94,-2.62,-4.17
197711,7.46,7.18,5.17
197712,2.63,1.31,0.26
197801,0.23,-4.2,-5.69
197802,3.56,1.24,-1.73
197803,7.48,5.61,4.09
197804,8.28,7.36,8.07
197805,8.17,4.68,2.75
197806,1.52,0.1,-1.17
197807,4.9,5.88,6.04
197808,10.85,7.16,3.81
197809,1.14,-1.18,-0.84
197810,-19.49,-16.99,-11.17
197811,4.14,5.37,3.11
197812,1.27,2.12,1
197901,10.37,7.56,5.43
197902,-1.42,-2.74,-3.36
197903,8.11,8.98,6.99
197904,3.26,2.28,0.22
197905,-0.24,-1.45,-0.75
197906,5.38,5.54,5.83
197907,2.03,3.41,2.05
197908,7.64,7.56,6.54
197909,-0.25,-0.11,-0.4
197910,-9.97,-9.58,-7.77
197911,6.14,8.14,6.56
197912,7.66,4.8,2.92
198001,11.77,6.24,5.12
198002,-0.11,-3.27,-2.72
198003,-17.47,-14.89,-9.43
198004,4.73,6.59,5.98
198005,6.84,8.97,6.95
198006,4.27,4.66,3.73
198007,9.46,9.77,7.36
198008,7.89,4.6,1.71
198009,5.74,3.03,3
198010,5.46,2.11,0.85
198011,6.44,7.01,8.13
198012,-3.86,-1.91,-0.9
198101,1.64,-0.75,-3.07
198102,-0.01,2.06,2.02
198103,7.3,7.92,6.7
198104,3.76,2.18,-0.75
198105,3.06,2.43,1.35
198106,-0.27,-1.3,-0.7
198107,-2.25,-1.88,-0.52
198108,-7.99,-6.51,-5.39
198109,-9.85,-6.42,-5.86
198110,7.03,7.56,6.9
198111,1.11,3.7,4.61
198112,-1.96,-1.89,-2.9
198201,-1.02,-4.16,-2.81
198202,-4.62,-4.53,-4.65
198203,-1.08,-0.96,-1.35
198204,5.43,5.51,4.99
198205,-1.89,-3.51,-4.3
198206,-3.54,-3,-2.62
198207,-1.61,-1.27,-2.91
198208,4.5,10.44,12.99
198209,3.24,3.67,1.88
198210,12.94,13.86,12.54
198211,10.38,7.94,4.54
198212,2.68,0.62,1.61
198301,13.44,5.39,3.24
198302,5.98,4.73,2.88
198303,5.69,4.01,3.61
198304,8.47,7.13,6.33
198305,11.27,4.89,2.28
198306,5.26,4.01,2.94
198307,-1.43,-3.27,-3.5
198308,-3.8,-2.47,0.58
198309,-0.62,2.9,1.91
198310,-6.17,-5.73,-2.62
198311,2.21,5.47,3.74
198312,-2.36,-1.93,-1.32
198401,1.36,-2.88,-2.07
198402,-5.68,-5.67,-4.52
198403,0.52,0.97,1.73
198404,-2.56,-0.44,-0.8
198405,-4.8,-5.48,-5.37
198406,0.84,3.23,2.94
198407,-5.29,-3.5,-1.94
198408,7.84,12.35,11.94
198409,-0.17,-0.04,0.32
198410,-2.86,-0.8,0.97
198411,-4.02,-1.16,-0.6
198412,0.05,2.43,2.88
198501,13.18,11.43,8.15
198502,5.69,1.72,1.93
198503,-1.07,-1.27,0.53
198504,-1.5,-0.67,-0.5
198505,1.47,4.2,6.71
198506,0.13,2.08,2.11
198507,2.25,1.82,-0.9
198508,-0.41,-0.5,-0.29
198509,-6.05,-5.32,-4.23
198510,0.88,4.28,5.66
198511,4.78,7.64,6.95
198512,2.6,4.09,4.31
198601,5.23,1.64,1.74
198602,5.78,7.17,8.38
198603,4.67,5.48,4.88
198604,1.95,0.92,-1.56
198605,3.36,4.65,5.43
198606,0.87,0.6,1.34
198607,-7.77,-7.95,-5.59
198608,0.41,5.3,7.39
198609,-6.11,-6.58,-8.41
198610,1.72,4,6.56
198611,-1.23,-0.09,1.34
198612,-4.1,-2.49,-3.25
198701,11.76,11.91,12.88
198702,7.93,7.22,5.1
198703,3.88,1.29,1.1
198704,-1.49,-3.32,-2.9
198705,0.34,-0.26,0.54
198706,1.87,3.65,5.03
198707,2.94,4.05,4.86
198708,0.96,3.71,3.58
198709,-1.51,-2.01,-2.12
198710,-28.19,-27.71,-22.23
198711,-5.46,-4.78,-7.18
198712,1.13,9.03,8.16
198801,9.06,4.57,5.61
198802,5.93,8.98,6.23
198803,4.44,2.18,-1.59
198804,1.46,1.19,0.32
198805,-1.97,-1.53,0.39
198806,4.47,6.97,5.85
198807,0.46,-1.53,-1.24
198808,-2.16,-2.68,-2.32
198809,1.58,2.82,4.13
198810,-1.92,-0.32,1.48
198811,-4.64,-2.34,-2.24
198812,1.82,3.42,2.21
198901,6.67,4.85,6.56
198902,0.47,0.64,-1.23
198903,1.6,1.74,2.12
198904,2.69,5.06,4.98
198905,2.4,4.15,4.41
198906,-1.32,-1.35,-0.18
198907,2.1,4.91,8.33
198908,1.68,3.41,2.69
198909,0.48,-0.07,-0.65
198910,-5.23,-5.74,-3.69
198911,-1.75,0.65,1.67
198912,-2.36,0.33,1.98
199001,-4.14,-8.62,-7.77
199002,1.85,2.59,1.72
199003,2.43,3.18,1.76
199004,-2.13,-4.43,-3.83
199005,3.44,7.09,9.33
199006,0.67,-0.07,-1.04
199007,-3.18,-3.57,-1.81
199008,-11.67,-12.13,-9.7
199009,-8.13,-9.16,-6.91
199010,-6.8,-5.27,-2.33
199011,1.89,9.43,9.88
199012,-1.93,4.89,3.93
199101,9.53,8.34,6.24
199102,15.02,11.73,7.85
199103,9.59,5,3.03
199104,4.16,0.45,1.08
199105,2.68,3.67,4.76
199106,-3.17,-4.18,-5.17
199107,3.22,4.74,4.67
199108,3.09,3.79,2.69
199109,1.39,-0.38,-1.12
199110,2.81,2.02,1.88
199111,-1.77,-4.34,-4.18
199112,1.58,9.75,11.41
199201,20.76,5.64,0.38
199202,7.04,2.59,1.84
199203,-0.55,-2.64,-2.39
199204,-4.4,-1.83,1.92
199205,0.34,1.1,0.71
199206,-4.55,-3.19,-1.66
199207,2.33,3.91,4.29
199208,-2.8,-2.66,-2.16
199209,1.11,1.93,1.92
199210,1.88,3.52,2.05
199211,8,7,4.32
199212,4.19,3.3,1.99
199301,8.89,2.4,1.65
199302,-1.56,-1.58,0.77
199303,2.88,2.96,2.76
199304,-1.44,-2.95,-2.6
199305,4.18,4.29,2.69
199306,1.7,0.53,0.57
199307,1.55,0.79,0.13
199308,3.8,4.65,4.52
199309,3.36,2.35,-0.04
199310,5.15,1.3,1.07
199311,-2.47,-3.01,-1.59
199312,0.19,4.06,2.48
199401,5.78,2.54,2.84
199402,-0.55,-0.61,-2.22
199403,-4.14,-4.87,-4.16
199404,-1.95,0.11,0.79
199405,-0.15,-0.91,0.97
199406,-2.87,-2.41,-2.72
199407,0.91,2.7,3.06
199408,3.33,6.22,4.73
199409,1.56,-0.97,-2.55
199410,-0.06,-0.03,1.39
199411,-4.38,-4.56,-3.76
199412,-2.31,2.26,0.93
199501,4.16,-0.44,2.68
199502,2.62,4.64,4.62
199503,1.65,2.24,2.62
199504,2.53,1.98,1.57
199505,1.73,1.79,3.7
199506,6.1,4.43,2.59
199507,6.18,6.43,4.25
199508,4.31,1.85,1.54
199509,3.02,1.8,2.96
199510,-4.93,-3.87,-1.97
199511,0.4,4.7,4.96
199512,0.58,1.57,0.48
199601,3.5,0.16,3.04
199602,4.01,3.52,1.8
199603,3.17,2.49,1.24
199604,6.81,4.96,2.57
199605,8.74,2.46,1.57
199606,-3.48,-3.27,-0.9
199607,-9.31,-8.31,-5.85
199608,4.05,6.64,3.95
199609,2.38,4.44,5.47
199610,-2.96,-2.08,0.7
199611,1.47,3.99,6.83
199612,-0.89,0.85,-1.78
199701,7.96,2.59,3.96
199702,-1.55,-1.94,0.33
199703,-5.25,-5.23,-4.34
199704,-3.54,0.32,2.59
199705,8.15,12.75,8.02
199706,4.33,4.39,3.45
199707,4.44,6.21,8.52
199708,4.48,1.81,-2.26
199709,9.44,7.37,5.16
199710,-1.39,-4.1,-3.72
199711,-3.07,-0.68,2.92
199712,-4.84,1.53,2.2
199801,2.26,-0.94,-0.86
199802,5.51,8.58,8.01
199803,4.98,4.6,4.66
199804,3.42,1.04,0.69
199805,-4.42,-5.72,-3
199806,-3.9,-0.39,0.94
199807,-5.5,-7.41,-3.96
199808,-20.97,-19.96,-16.1
199809,2.58,7.29,6.89
199810,2.22,6.55,8.98
199811,9.21,5.87,5.12
199812,1.19,5.68,5.1
199901,9.95,0.01,0.07
199902,-4.5,-7.39,-2.57
199903,-2.78,1.76,3.9
199904,8.38,9.38,8.56
199905,4.18,3.49,0.27
199906,3.56,4.93,3.43
199907,2.27,-1.91,-3.31
199908,-3.58,-3.9,-2.06
199909,-2.06,0,-3.17
199910,-1.38,1.08,5.46
199911,11.47,6.08,2.57
199912,8.93,8.15,6
200001,9.93,-4.13,-4.18
200002,17.16,6.89,-0.9
200003,-1.8,4.39,10.72
200004,-10.82,-3.65,-1.8
200005,-7.34,-2.92,0.01
200006,9.14,4.54,0.04
200007,-1.93,-3.72,-1.3
200008,5.14,7.62,10.22
200009,-4.3,-5.17,-3.35
200010,-7.68,-6.62,-2.19
200011,-12.48,-13.48,-12.46
200012,-5.05,5.18,5.04
200101,30.74,19.26,8.95
200102,-5.72,-11.12,-11.24
200103,-5.85,-9.28,-9.6
200104,5.69,10.57,13.06
200105,9,3.59,1.47
200106,1.76,2.56,-2.1
200107,-2.65,-4.77,-2.55
200108,-3.49,-4.88,-5.66
200109,-12.71,-15.46,-13.11
200110,7.97,10.42,5.64
200111,7.39,10.47,9.75
200112,6.76,7.2,2.93
200201,3.74,-2.34,-1.96
200202,-4.33,-3.61,-2.81
200203,8.26,8.57,7.52
200204,1.07,-2.06,-4.3
200205,-1.68,-5.25,-2.25
200206,-6.35,-8.22,-9.87
200207,-12.29,-12.72,-9.41
200208,-0.05,1.29,0.81
200209,-8.76,-8.58,-10.23
200210,4.39,5.18,6.43
200211,14.35,10.77,8.45
200212,-5.29,-5.07,-4.49
200301,1.56,-2.91,-2.22
200302,-2.66,-3.08,-2.06
200303,1.37,1.22,0.79
200304,10.22,10.87,8.67
200305,16.22,11.13,8.86
200306,6.84,2.15,0.47
200307,8.71,5.22,2.43
200308,5.36,5.17,3.79
200309,4.23,-1.92,-1.6
200310,8.81,8.32,7.28
200311,4.29,3.32,2.17
200312,3.65,2.75,4.11
200401,9.09,3.53,1.93
200402,0.63,1.86,2.21
200403,0.24,0.78,-0.7
200404,-3.24,-3.45,-1.93
200405,-0.81,1.77,1.86
200406,2.44,3.65,2.1
200407,-7.14,-5.9,-4.38
200408,-1.62,-1.25,0
200409,4.13,4.47,3.05
200410,1.72,2.28,2.22
200411,9.56,7.69,5.63
200412,7.08,3.8,3.76
200501,-3.71,-3.33,-2.73
200502,0.45,2.52,2.24
200503,-3.54,-1.93,-1.17
200504,-6.33,-5.32,-2.97
200505,4.56,6.77,4.48
200506,3.76,3.09,1.5
200507,7.05,5.74,4.9
200508,-1.13,-1.24,-0.88
200509,0.56,0.64,0.95
200510,-3.44,-3.07,-2.02
200511,3.26,4.82,4.18
200512,1.06,0.16,0.69
200601,8.99,6.79,3.6
200602,0.84,-0.49,0.32
200603,4.77,3.6,1.77
200604,0.66,0.5,1.13
200605,-5.21,-4.62,-2.88
200606,-1.03,-0.67,-0.01
200607,-3.7,-3.89,-1.45
200608,2,2.31,2.36
200609,0.69,1.24,2.19
200610,5.19,5,3.64
200611,2.39,3.56,2.81
200612,1.76,0.29,0.48
200701,2.32,2.47,2.69
200702,0.28,0.17,-0.36
200703,-0.03,1.35,0.99
200704,1.92,3.13,4.18
200705,1.52,4.73,3.81
200706,-0.29,-1.46,-1.77
200707,-5.35,-5.11,-3.39
200708,-1.82,0.58,0.47
200709,1.22,2.08,3.25
200710,0.57,2.26,1.82
200711,-9.45,-6.37,-4.6
200712,-1.65,-1.04,-1.11
200801,-5.12,-5.14,-5.25
200802,-2.63,-3.37,-2.85
200803,-3.08,-1.3,-1.92
200804,0.96,5.56,5.54
200805,3.1,4.92,2.82
200806,-9.17,-10.09,-10.15
200807,1.15,1.28,-2.1
200808,2.03,3.98,0.97
200809,-11.16,-10.07,-12.67
200810,-21.15,-22.11,-20.78
200811,-15.51,-11.93,-9.5
200812,2.08,5.58,3.39
200901,-2.3,-8.38,-6.36
200902,-11.65,-12.1,-10.66
200903,12.86,12.51,9.83
200904,21.64,23.15,18
200905,11.11,6.31,7.69
200906,5.1,0.67,-0.46
200907,8.57,9.52,8.28
200908,7.83,3.94,4.3
200909,7.74,6.21,5.16
200910,-7.28,-5.83,-3.05
200911,0.7,3.65,5.13
200912,6.69,7.42,4.5
201001,0.64,-2.91,-3.28
201002,3.6,4.35,4.17
201003,8.14,8.29,6.53
201004,9.69,4.97,2.42
201005,-8.55,-7.45,-7.3
201006,-8.42,-7.16,-5.54
201007,4.91,7.03,7.34
201008,-7.5,-6.25,-4.41
201009,10.36,12.75,10.39
201010,4.64,3.18,3.98
201011,2,3.45,1.41
201012,9,8.02,6.79
201101,2.08,1.26,2.19
201102,4,4.91,3.84
201103,0.74,2.3,1.08
201104,0.58,3.01,3.1
201105,-2.74,-1.19,-0.55
201106,-2.97,-1.8,-1.85
201107,-1.72,-4.22,-3.27
201108,-10.34,-8.54,-6.53
201109,-11.02,-11.52,-9.02
201110,10.52,16.35,13.07
201111,-2.52,-0.46,-0.52
201112,0.07,0.03,-0.59
201201,10.33,7.19,6.75
201202,3.89,4.05,4.57
201203,3.87,1.93,2.11
201204,-1.49,-1.25,-0.96
201205,-6.87,-7.24,-7.51
201206,4.02,3.55,2.91
201207,-1.3,-1.14,0.12
201208,2.22,3.6,3
201209,4.58,2.73,2.5
201210,-2.45,-1.52,-0.78
201211,-0.48,1.66,1.39
201212,2.34,3.03,2.23
201301,7.69,6.85,6.69
201302,1.01,1.21,1.09
201303,4.3,4.58,4.44
201304,-0.38,-0.2,1.44
201305,5.27,5.07,2.4
201306,0.39,-0.75,-1.16
201307,8.02,6.95,5.98
201308,-1.78,-2.65,-2.31
201309,6.16,5.78,4.3
201310,2.08,2.82,3.81
201311,4.86,3.77,2.42
201312,2.87,2.71,2.97
201401,1.95,-2.94,-3
201402,4.26,4.92,5.5
201403,0.06,-0.3,0.34
201404,-5.14,-2.56,-0.2
201405,-0.82,1.05,2.38
201406,4.55,5.21,2.82
201407,-5.29,-5.23,-2.31
201408,3.53,5.15,4.54
201409,-5.17,-5.26,-2.53
201410,2.24,4.32,2.7
201411,-1.02,0.42,2.48
201412,2.85,0.6,0.11
201501,-3.19,-3.76,-2.76
201502,6.14,7.44,6.61
201503,-0.06,0.77,-0.93
201504,0.25,-0.33,0.85
201505,0.63,1.41,0.88
201506,0.45,-0.84,-1.99
201507,-4.79,-1.15,0.93
201508,-3.85,-5.94,-5.61
201509,-6.19,-5.93,-4.05
201510,4.3,5.99,7.13
201511,2.19,2.89,0.31
201512,-5.12,-4.92,-2.82
201601,-10.25,-9.32,-6.95
201602,-0.15,1.04,0.72
201603,7.68,9.76,7.92
,,,
,,,
,,,
Copyright 2016 Kenneth R. French,,,
